檢體名稱,餐廳名稱,抽驗地點,檢驗結果,不符合規定原因,來源年份,來源縣市,經度,緯度
蜜沙茶香魚干,台中市沙鹿區店家,台中市沙鹿區鎮南路1段319號,合格,去水醋酸未檢出蘇丹色素三號未檢出蘇丹色素四號未檢出鹽基性桃紅精(RhodamineB)未檢出己二烯酸0.74蘇丹色素一號未檢出蘇丹色素二號未檢出苯甲酸未檢出,108,新北市,120.571660828112,24.213197107526
巧益甘草開味黃橄欖,新北市泰山區店家,新北市泰山區中港西路120巷13之5號,合格,苯甲酸0.60己二烯酸未檢出二甲基黃(dimethylyellow)未檢出二乙基黃(diethylyellow)未檢出芥黃(Auramine)未檢出皂黃(Metanil Yellow)未檢出去水醋酸未檢出,108,新北市,121.443712291891,25.063594665838
鱈魚香片(蜜沙茶),鱈魚,新北市板橋區民有街5號,合格,己二烯酸1.31苯甲酸未檢出蘇丹色素三號未檢出蘇丹色素一號未檢出蘇丹色素二號未檢出去水醋酸未檢出鹽基性桃紅精(RhodamineB)未檢出蘇丹色素四號未檢出,108,新北市,121.466406696228,25.024436798424
黃草橄欖,新北市板橋區店家,新北市板橋區民有街5號,合格,二甲基黃(dimethylyellow)未檢出二乙基黃(diethylyellow)未檢出皂黃(Metanil Yellow)未檢出去水醋酸未檢出芥黃(Auramine)未檢出己二烯酸未檢出苯甲酸0.22,108,新北市,121.466406696228,25.024436798424
紅燒魚片,台中市沙鹿區店家,台中市沙鹿區鎮南路1段319號,合格,蘇丹色素四號未檢出鹽基性桃紅精(RhodamineB)未檢出苯甲酸未檢出蘇丹色素三號未檢出蘇丹色素一號未檢出蘇丹色素二號未檢出去水醋酸未檢出己二烯酸1.06,108,新北市,120.571660828112,24.213197107526
烤花枝魚干,台中市沙鹿區店家,台中市沙鹿區鎮南路1段319號,合格,去水醋酸未檢出蘇丹色素三號未檢出蘇丹色素一號未檢出蘇丹色素二號未檢出蘇丹色素四號未檢出鹽基性桃紅精(RhodamineB)未檢出己二烯酸0.45苯甲酸未檢出,108,新北市,120.571660828112,24.213197107526
紅燒魚片,台中市沙鹿區店家,台中市沙鹿區鎮南路1段319號,合格,蘇丹色素三號未檢出鹽基性桃紅精(RhodamineB)未檢出蘇丹色素四號未檢出蘇丹色素一號未檢出蘇丹色素二號未檢出苯甲酸未檢出己二烯酸0.97去水醋酸未檢出,108,新北市,120.571660828112,24.213197107526
巧益福州開味橄,新北市泰山區店家,新北市泰山區中港西路120巷13之5號,合格,去水醋酸未檢出芥黃(Auramine)未檢出二甲基黃(dimethylyellow)未檢出皂黃(Metanil Yellow)未檢出己二烯酸未檢出苯甲酸0.61二乙基黃(diethylyellow)未檢出,108,新北市,121.443712291891,25.063594665838
無子甘草橄欖,高雄市楠梓區店家,高雄市楠梓區土庫五路86號,合格,二乙基黃(diethylyellow)未檢出苯甲酸0.18己二烯酸未檢出去水醋酸未檢出皂黃(Metanil Yellow)未檢出芥黃(Auramine)未檢出二甲基黃(dimethylyellow)未檢出,108,新北市,120.332822017527,22.738880018116
原味復刻鹹味黃橄欖,台南市永康區店家,台南市永康區四維街58巷27號,合格,二乙基黃(diethylyellow)未檢出皂黃(Metanil Yellow)未檢出己二烯酸未檢出二甲基黃(dimethylyellow)未檢出芥黃(Auramine)未檢出苯甲酸0.38去水醋酸未檢出,108,新北市,120.25388301362,23.032748998624
藜麥雞肉沙拉,新北市汐止區店家,新北市汐止區大同路1段158號,合格,大腸桿菌陰性大腸桿菌群460沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.633169102312,25.056171605855
綠竹筍沙拉,新北市汐止區店家,新北市汐止區大同路1段158號,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.633169102312,25.056171605855
四季沙拉,四季,新北市新店區北新路2段102號1.2樓,合格,大腸桿菌陰性大腸桿菌群陰性沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.543081999544,24.973781981959
千島沙拉,新北市新莊區店家,新北市新莊區中華路1段182號,合格,大腸桿菌陰性大腸桿菌群240沙門氏桿菌陰性金黃色葡萄球菌860金黃色葡萄球菌腸毒素陰性,109,新北市,121.452995986423,25.042143987977
凱薩沙拉,新北市新莊區店家,新北市新莊區中華路1段182號,合格,大腸桿菌陰性大腸桿菌群460沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.452995986423,25.042143987977
夏威夷鮮蔬沙拉,新北市中和區店家,新北市中和區中和路13號5樓,合格,大腸桿菌陰性大腸桿菌群43沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.499819006705,25.002094071079
藜麥地瓜烤鷄沙拉,新北市淡水區店家,新北市淡水區中正東路35號,合格,大腸桿菌陰性大腸桿菌群43沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.446090974587,25.168612992935
雞肉地瓜總匯沙拉,雞肉,新北市淡水區中正東路35號,合格,大腸桿菌陰性大腸桿菌群150沙門氏桿菌陰性金黃色葡萄球菌陰性,109,新北市,121.446090974587,25.168612992935
